GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Marginal Abatement Cost Curves,digital.srp.macc.maths,ProRataAnnualizer,26,149,2,8,5,29,3,6,1,3
Marginal Abatement Cost Curves,digital.srp.macc.maths,SignificantFiguresFormat,68,59,9,3,13,14,7,8,2,7
Marginal Abatement Cost Curves,digital.srp.macc.maths,Finance,14,20,0,0,2,3,2,2,2,2
Marginal Abatement Cost Curves,digital.srp.macc.maths,DisplayableIntervention,1111,0,202,0,27,0,156,0,55,0
Marginal Abatement Cost Curves,digital.srp.macc.maths,InterventionTypeValidator,18,101,5,27,7,33,6,13,1,2
Marginal Abatement Cost Curves,digital.srp.macc,MaccConfig.new CommandLineRunner() {...},26,0,2,0,5,0,3,0,2,0
Marginal Abatement Cost Curves,digital.srp.macc,MaccConfig,45,0,0,0,8,0,5,0,5,0
Marginal Abatement Cost Curves,digital.srp.macc.internal,CsvImporter,142,360,16,43,27,67,13,26,1,5
Marginal Abatement Cost Curves,digital.srp.macc.model,InterventionType,1834,1173,378,70,54,176,221,132,27,102
Marginal Abatement Cost Curves,digital.srp.macc.model,ReportingYear,206,18,38,0,4,7,30,3,11,3
Marginal Abatement Cost Curves,digital.srp.macc.model,Intervention,583,49,66,2,77,8,74,7,40,7
Marginal Abatement Cost Curves,digital.srp.macc.model,OrganisationIntervention,661,125,83,9,33,34,87,15,43,13
Marginal Abatement Cost Curves,digital.srp.macc.model,OrganisationType,766,18,98,0,20,3,90,5,41,5
Marginal Abatement Cost Curves,digital.srp.macc.model,AnnualizedCost,366,18,70,0,7,2,51,5,16,5
Marginal Abatement Cost Curves,digital.srp.macc.model,Sector,34,0,0,0,2,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.model,TimeSeries,133,57,22,6,15,12,19,6,8,3
Marginal Abatement Cost Curves,digital.srp.macc.model,Invoice,245,329,46,12,5,52,34,16,11,10
Marginal Abatement Cost Curves,digital.srp.macc.model,ModelParameter,318,98,65,1,6,18,47,12,14,12
Marginal Abatement Cost Curves,digital.srp.macc.web.internal,CsvConverter,99,0,4,0,24,0,7,0,5,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionViews.Summary,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionViews,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,ModelParameterViews.Summary,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionTypeViews.Summary,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationTypeViews,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationInterventionViews,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,ModelParameterViews.Detailed,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionTypeViews,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionTypeViews.Detailed,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,InterventionViews.Detailed,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationTypeViews.Summary,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationTypeViews.Detailed,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,ModelParameterViews,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationInterventionViews.Detailed,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.views,OrganisationInterventionViews.Summary,3,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.web,InterventionController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.web,OrganisationTypeController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.web,InterventionController,290,0,8,0,52,0,15,0,11,0
Marginal Abatement Cost Curves,digital.srp.macc.web,OrganisationTypeController,334,7,14,0,53,3,17,2,10,2
Marginal Abatement Cost Curves,digital.srp.macc.web,InterventionTypeController,366,0,14,0,61,0,18,0,11,0
Marginal Abatement Cost Curves,digital.srp.macc.web,OrganisationInterventionController,165,0,8,0,36,0,10,0,6,0
Marginal Abatement Cost Curves,digital.srp.macc.web,InterventionTypeController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
Marginal Abatement Cost Curves,digital.srp.macc.web,ModelParameterController,212,0,10,0,36,0,13,0,8,0
