GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sustainability Reporting,digital.srp.sreport.api.exceptions,ResultSetTooLargeException,47,0,2,0,7,0,3,0,2,0
Sustainability Reporting,digital.srp.sreport.api.exceptions,FailedHealthCheckException,16,0,0,0,6,0,3,0,3,0
Sustainability Reporting,digital.srp.sreport.api.exceptions,SReportException,16,0,0,0,8,0,4,0,4,0
Sustainability Reporting,digital.srp.sreport.api.exceptions,ObjectNotFoundException,48,0,0,0,6,0,3,0,3,0
Sustainability Reporting,digital.srp.sreport.model.returns,Eric1516,9,516,0,0,4,1,4,1,4,1
Sustainability Reporting,digital.srp.sreport.model.returns,Eric1314,9,468,0,0,4,1,4,1,4,1
Sustainability Reporting,digital.srp.sreport.model.returns,Eric1617,9,540,0,0,4,1,4,1,4,1
Sustainability Reporting,digital.srp.sreport.model.returns,EricDataSetFactory,39,0,5,0,8,0,6,0,2,0
Sustainability Reporting,digital.srp.sreport.model.returns,Eric1415,9,436,0,0,4,1,4,1,4,1
Sustainability Reporting,digital.srp.sreport.api,SReportExceptionHandler,104,7,2,0,15,3,5,2,4,2
Sustainability Reporting,digital.srp.sreport.model.views,AnswerViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyCategoryViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,WeightingFactorViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,HealthCheckViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,HealthCheckViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyCategoryViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,WeightingFactorViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyReturnViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,HealthCheckViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,AnswerViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,CarbonFactorViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyReturnViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,QuestionViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,AnswerViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyReturnViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,WeightingFactorViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,CarbonFactorViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,QuestionViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,CarbonFactorViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyCategoryViews.Detailed,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,SurveyViews.Summary,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model.views,QuestionViews,3,0,0,0,1,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.web,MgmtController,701,13,36,0,126,4,35,2,17,2
Sustainability Reporting,digital.srp.sreport.web,WeightingFactorController,177,52,5,3,30,14,10,5,7,4
Sustainability Reporting,digital.srp.sreport.web,HealthCheckController,270,7,11,0,60,3,11,2,5,2
Sustainability Reporting,digital.srp.sreport.web,SurveyReturnController,1121,70,48,5,189,15,52,7,27,5
Sustainability Reporting,digital.srp.sreport.web,SurveyController,278,7,12,0,38,3,13,2,7,2
Sustainability Reporting,digital.srp.sreport.web,QuestionController,230,7,6,0,38,3,12,2,9,2
Sustainability Reporting,digital.srp.sreport.web,CarbonFactorController,177,63,5,3,30,18,10,5,7,4
Sustainability Reporting,digital.srp.sreport.web,SurveyCategoryController,101,7,4,0,15,3,6,2,4,2
Sustainability Reporting,digital.srp.sreport.web,SduReportController,1701,24,2,0,160,6,52,2,51,2
Sustainability Reporting,digital.srp.sreport.web,AnswerController,539,7,36,0,111,3,31,2,10,2
Sustainability Reporting,digital.srp.sreport.web,CalculationController,154,7,10,0,31,3,10,2,5,2
Sustainability Reporting,digital.srp.sreport.model,TabularDataSet,104,114,17,7,3,19,16,10,6,8
Sustainability Reporting,digital.srp.sreport.model,WeightingFactors,0,264,0,0,0,23,0,1,0,1
Sustainability Reporting,digital.srp.sreport.model,WeightingFactor,362,194,63,13,45,14,74,21,37,20
Sustainability Reporting,digital.srp.sreport.model,SurveyCategory,86,259,24,24,4,38,26,26,6,22
Sustainability Reporting,digital.srp.sreport.model,SurveyReturn,294,606,58,54,29,97,58,72,15,59
Sustainability Reporting,digital.srp.sreport.model,Criteria,83,0,14,0,2,0,14,0,7,0
Sustainability Reporting,digital.srp.sreport.model,Criterion,169,0,30,0,4,0,26,0,11,0
Sustainability Reporting,digital.srp.sreport.model,CarbonFactors,0,984,0,0,0,98,0,1,0,1
Sustainability Reporting,digital.srp.sreport.model,EricQ,424,0,0,0,43,0,1,0,1,0
Sustainability Reporting,digital.srp.sreport.model,Survey,200,326,37,25,21,57,41,39,13,36
Sustainability Reporting,digital.srp.sreport.model,Q,8,5746,0,0,3,199,1,3,1,3
